Altium Designer Pick and Place Locations
C:\Users\Ktoœ2\Desktop\studia\4sem\PBL4\smartwatch\HARDWARE\PCB_smartwatch\Project Outputs for Free Documents\Pick Place\Pick Place for Demo_PCB.txt

========================================================================================================================
File Design Information:

Date:       15.04.24
Time:       03:36
Revision:   459d749277dcec15d4c3f9b42b6ce9ad832779fc
Variant:    No variations
Units used: mil

Designator Comment                   Layer    Footprint                          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                     
R3         10k                       TopLayer 0402_RES_REFLOW                    1134.845      63.640        180      ""                                                                                                                                              
R8         10k                       TopLayer 0402_RES_REFLOW                    1441.929      1292.323      270      ""                                                                                                                                              
R6         10k                       TopLayer 0402_RES_REFLOW                    1588.852      189.757       270      ""                                                                                                                                              
R1         10k                       TopLayer 0402_RES_REFLOW                    487.446       58.569        180      ""                                                                                                                                              
R2         1k                        TopLayer 0402_RES_REFLOW                    487.446       164.869       0        button                                                                                                                                          
C10        100nF                     TopLayer 0402_CAP_REFLOW                    1496.063      1292.323      90       button                                                                                                                                          
C9         100nF                     TopLayer 0402_CAP_REFLOW                    1642.002      189.757       90       button                                                                                                                                          
C7         100nF                     TopLayer 0402_CAP_REFLOW                    1134.845      116.790       0        button                                                                                                                                          
C4         100nF                     TopLayer 0402_CAP_REFLOW                    487.446       111.719       0        button                                                                                                                                          
IC1        NPM1300-QEAA-R            TopLayer nPM1300-QFN50P500X500X90-33N       1383.067      818.133       270      "Integrated Circuit"                                                                                                                            
X2         B3U-3000PM-B              TopLayer B3U3000PMB                         959.011       52.847        180      "Tactile Switches Side Actuate w/Boss w/out Ground Term"                                                                                        
C12        100nF                     TopLayer 0402_CAP_REFLOW                    764.893       958.541       0        ""                                                                                                                                              
J1         USB-C                     TopLayer USB-C                              1829.929      528.565       90       Connector                                                                                                                                       
R9         1k                        TopLayer 0402_RES_REFLOW                    1387.795      1292.323      90       button                                                                                                                                          
R7         1k                        TopLayer 0402_RES_REFLOW                    1695.154      189.718       90       button                                                                                                                                          
R4         1k                        TopLayer 0402_RES_REFLOW                    1134.846      169.940       0        button                                                                                                                                          
C11        100nF                     TopLayer 0402_CAP_REFLOW                    543.231       1271.933      180      ""                                                                                                                                              
Y1         ECS-.327-12.5-1210-TR     TopLayer ECS32712534BCTR                    1125.984      1147.638      270      "CRYSTAL 32.7680KHZ 12.5PF SMD"                                                                                                                 
X4         B3U-3000PM-B              TopLayer B3U3000PMB                         1653.543      1326.772      0        "Tactile Switches Side Actuate w/Boss w/out Ground Term"                                                                                        
X3         B3U-3000PM-B              TopLayer B3U3000PMB                         1653.543      50.464        180      "Tactile Switches Side Actuate w/Boss w/out Ground Term"                                                                                        
X1         B3U-3000PM-B              TopLayer B3U3000PMB                         314.961       55.118        180      "Tactile Switches Side Actuate w/Boss w/out Ground Term"                                                                                        
VIB_MOT1   vibration_motor_ODS-13807 TopLayer RHDR20W60P0X254_1X20_5130X250X888P 1838.685      1025.607      0        ""                                                                                                                                              
U1         BMA456                    TopLayer FP-BMA456-MFG                      999.293       785.418       180      "ACCEL 2-16G I2C/SPI 12LGA"                                                                                                                     
R5         47K                       TopLayer 0402_RES_REFLOW                    94.488        1102.362      0        ""                                                                                                                                              
R10        1.69k                     TopLayer 0402_RES_REFLOW                    1101.584      1299.752      180      "Resistor, green LED"                                                                                                                           
R16        10K                       TopLayer 0402_RES_REFLOW                    1200.940      966.140       0        ""                                                                                                                                              
R15        10K                       TopLayer 0402_RES_REFLOW                    1212.598      759.842       270      ""                                                                                                                                              
R14        300k                      TopLayer 0402_RES_REFLOW                    1224.409      625.984       90       Resistor                                                                                                                                        
R13        300k                      TopLayer 0402_RES_REFLOW                    1291.339      625.984       90       Resistor                                                                                                                                        
R12        1.69k                     TopLayer 0402_RES_REFLOW                    1565.154      709.866       180      "Resistor, blue LED"                                                                                                                            
R11        1.69k                     TopLayer 0402_RES_REFLOW                    1565.154      759.078       180      "Resistor, green LED"                                                                                                                           
R18        3                         TopLayer 0402_RES_REFLOW                    435.039       874.016       0        ""                                                                                                                                              
R17        10K                       TopLayer 0402_RES_REFLOW                    422.280       967.984       270      ""                                                                                                                                              
Q1         Si1308EDL-T1-GE3          TopLayer SOT65P210X110-3N                   552.284       905.957       0        "MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70"                             
